Q,A
How do you fix high variance in a model?,"To fix high variance, try getting more training data, using simpler models, reducing the number of features, using regularization techniques, or employing ensemble methods."
Explain LDA for unsupervised learning.,LDA (Latent Dirichlet Allocation) is a topic modeling technique that assumes each document is a mixture of topics and each topic is a mixture of words. LDA helps in discovering the topics present in a corpus.
How do you choose a classifier based on a training set size?,"For small datasets, simpler models (like logistic regression or Naive Bayes) are often better. For large datasets, more complex models (like neural networks or ensemble methods) can be used effectively."
What are the most common algorithms for supervised learning and unsupervised learning?,"Supervised: Linear Regression, Logistic Regression, SVM, Decision Trees, Random Forest, Gradient Boosting, Neural Networks. Unsupervised: K-means, Hierarchical Clustering, PCA, LDA, Apriori algorithm."
What are the problems with using trees for solving time series problems?,Decision trees often struggle with time series data due to their non-linear and sequential nature. Trees don't naturally account for the time component and temporal dependencies in the data.
How is time series different from the usual regression problem?,"Time series data is time-dependent, where the assumption of independent observations is violated. It often exhibits trends, seasonality, and autocorrelation, making the modeling approach different from typical regression."
Possible approaches to solving the cold start problem?,"Approaches include using demographic data, content-based filtering, collaborative filtering with a hybrid approach, or leveraging data from similar users/items."
What is the cold start problem?,The cold start problem refers to the difficulty in providing personalized recommendations when there is insufficient data on new users or items in a recommender system.
"How we can incorporate implicit feedback (clicks, etc) into our recommender systems?","Implicit feedback can be incorporated by treating it as positive-only feedback, using it to derive user preferences, or by modeling the frequency of user interactions as an indicator of preference."
What are good baselines when building a recommender system?,"Good baselines include using the most popular items for recommendation, user or item averages, or basic collaborative filtering models as a starting point before moving to more complex algorithms."
What is precision and recall at k?,"Precision at k is the proportion of recommended items in the top-k set that are relevant, while recall at k is the proportion of relevant items found in the top-k recommendations."
What’s singular value decomposition? How is it typically used for machine learning?,"Singular Value Decomposition (SVD) is a matrix factorization technique that decomposes a matrix into three other matrices. It's used in ML for dimensionality reduction, noise reduction, and for building recommendation systems."
Do you know any dimensionality reduction techniques?,"Common techniques include Principal Component Analysis (PCA), Linear Discriminant Analysis (LDA), t-Distributed Stochastic Neighbor Embedding (t-SNE), and Autoencoders."
"If you have a sentence with multiple words, you may need to combine multiple word embeddings into one. How would you do it?","You can average the word embeddings, use weighted averages, or use more sophisticated methods like RNNs or Attention mechanisms to combine them into a single vector representation."
Would you prefer gradient boosting trees model or logistic regression when doing text classification with bag of words?,"It depends on the dataset's size and complexity. Logistic regression is simpler and faster for smaller or linearly separable data, while gradient boosting trees are better for complex, non-linear datasets."
How is TF-IDF useful for text classification?,"TF-IDF (Term Frequency-Inverse Document Frequency) weighs the frequency of a word in a document against its frequency in all documents, helping to highlight important words and diminish the impact of common words."
What are the advantages and disadvantages of bag of words?,"Advantages: Simple, easy to understand, and implement. Disadvantages: Ignores word order, context, and semantics; can be high-dimensional."
How to choose which augmentations to use? (neural networks),"Choose augmentations based on the problem at hand. For image data, consider rotations, flips; for text, synonyms, word order changes. The key is to introduce variability without altering the underlying patterns."
What kind of augmentations do you know?,"For images: rotations, flipping, scaling, cropping, color changes. For text: synonym replacement, random insertion, deletion, or shuffling of words."
Are CNNs resistant to rotations? What happens to the predictions of a CNN if an image is rotated?,Standard CNNs are not inherently rotation-invariant. A rotated image might be misclassified if the model hasn't learned the rotated features during training.
What’s pooling in CNN? Why do we need it?,"Pooling reduces the spatial size of the convolved features to decrease computational load, memory usage, and the number of parameters, helping to prevent overfitting."
How does max pooling work? Are there other pooling techniques?,Max pooling reduces the input's dimensions by taking the maximum value over the window defined by the pool size. Other techniques include average pooling and L2-norm pooling.
Why do we actually need convolutions? Can’t we use fully-connected layers for that?,"Convolutions preserve the spatial relationship between pixels, making them well-suited for tasks like image recognition. Fully-connected layers do not preserve spatial relationships and would lead to a significantly higher number of parameters."
What is model checkpointing?,"Model checkpointing is a technique to save the state of a trained model at certain intervals during training, so the model training can be resumed or the model can be used from a particular state."
What’s a convolutional layer?,"A convolutional layer applies a convolution operation to the input, passing the result to the next layer. It's a fundamental building block of a Convolutional Neural Network (CNN), used primarily for processing image data."
How do we decide when to stop training a neural net?,"Training can be stopped when a validation metric stops improving (early stopping), after a pre-defined number of epochs, or when the training loss plateaus or starts increasing (a sign of overfitting)."
What is Adam? What’s the main difference between Adam and SGD?,"Adam (Adaptive Moment Estimation) is an optimization algorithm that combines ideas from RMSProp and momentum. Unlike SGD (Stochastic Gradient Descent), Adam maintains separate learning rates for each parameter and adjusts them throughout training."
What is a learning rate and how do we set it?,"The learning rate determines the step size at each iteration while moving toward a minimum of a loss function. It's typically set empirically, often starting with values like 0.001, 0.01, or 0.1, and adjusted based on performance."
Which optimization techniques for training neural nets do you know?,"Techniques include Stochastic Gradient Descent (SGD), SGD with momentum, RMSprop, Adam, Adagrad, and AdaDelta."
How we can initialize the weights of a neural network?,"Weights can be initialized randomly (with a specific distribution), using Xavier/Glorot initialization, or He initialization, among others. Proper initialization helps in achieving faster convergence."
What if we set all the weights of a neural network to 0?,"Setting all weights to 0 leads to symmetry in the learning process, where all neurons in each layer learn the same features during training, making it ineffective."
What regularization techniques for neural nets do you know?,"Techniques include L1 and L2 regularization, dropout, early stopping, and batch normalization. These techniques help to prevent overfitting."
What is ReLU? How is it better than sigmoid or tanh?,"ReLU (Rectified Linear Unit) is an activation function that outputs the input directly if it is positive, else it outputs zero. It helps mitigate the vanishing gradient problem, allowing models to learn faster and perform better than sigmoid/tanh for deep networks."
Which hyper-parameter tuning strategies (in general) do you know?,"Strategies include grid search, random search, Bayesian optimization, and gradient-based optimization."
What’s the difference between grid search parameter tuning strategy and random search?,"Grid search systematically explores multiple combinations of parameter values, whereas random search randomly selects combinations. Random search can be more efficient, especially when dealing with large hyperparameter spaces."
What are stop words?,"Stop words are common words like 'the', 'is', 'in', which are usually removed in the pre-processing phase because they carry less meaningful information for understanding the text's content."
What is Syntactic Analysis?,"Syntactic analysis involves analyzing the syntactic structure of a text, identifying grammatical constituents and their relationships, often using parsing techniques."
What is Semantic Analysis?,"Semantic analysis is the process of understanding the meaning and interpretation of words, phrases, and sentences in context."
What is Entity extraction?,"Entity extraction involves identifying and classifying key elements from text into predefined categories like names, organizations, locations, etc."
What is Latent Semantic Indexing (LSI)?,LSI is a technique in natural language processing to analyze relationships between a set of documents and the terms they contain by producing a set of concepts related to the documents and terms.
What are Regular Expressions?,"Regular expressions are a sequence of characters used to match and manipulate strings, based on specific patterns. Used in text processing/searching."
What is Regular Grammar?,"Regular grammar is a set of production rules for generating strings in a formal language. In NLP, it's used for defining a regular language, often in conjunction with regular expressions."
What is Parsing in the context of NLP?,"Parsing in NLP is the process of analyzing the structure of a sentence, understanding its syntax, and breaking it down into its constituent parts (like subjects, verbs, objects) to understand relationships and meaning."
What is POS tagging?,"Part-of-Speech tagging involves identifying the word class (noun, verb, adjective, etc.) of each word in a sentence. It's a crucial step in understanding the syntactic structure of sentences."
Explain the process of text classification.,"Text classification involves preprocessing text data, extracting features (like TF-IDF, word embeddings), and then training a classifier (like SVM, random forest, or neural networks) to categorize the text into predefined labels."
What is the difference between NLP and NLU?,"NLP (Natural Language Processing) is a broader field focused on enabling computers to understand, interpret, and manipulate human language. NLU (Natural Language Understanding) is a subset, dealing specifically with understanding and extracting meaning from text."
"What are unigrams, bigrams, trigrams, and n-grams in NLP?","Unigrams are single words, bigrams are two-word combinations, trigrams are three-word combinations, and n-grams are sequences of 'n' words used to capture context in text analysis."
What are the steps involved in solving an NLP problem?,"Steps include data collection, text preprocessing (tokenization, cleaning, etc.), feature extraction, model selection, training the model, evaluation, and possibly deployment."
What is feature extraction in NLP?,"Feature extraction in NLP involves converting text data into numerical features understandable by machine learning algorithms, like using bag-of-words, TF-IDF, or word embeddings."
How to tokenize a sentence using the nltk package?,"In Python, using NLTK: import nltk; nltk.download('punkt'); from nltk.tokenize import word_tokenize; tokens = word_tokenize(""Your sentence here."")"
How to check word similarity using the spaCy package,"In spaCy: Load a language model (nlp = spacy.load('en_core_web_sm')), process two words (doc1 = nlp(""word1""); doc2 = nlp(""word2"")), then compare similarity (similarity = doc1.similarity(doc2))."
What is a perceptron?,"A perceptron is a simple supervised learning algorithm and the simplest form of a neural network, used for binary classification tasks. It consists of input weights, aggregation, and an activation function."
What is the difference between lists and tuples?,"In Python, lists are mutable (can be changed), and tuples are immutable (cannot be changed). Lists are defined with square brackets [], while tuples with parentheses ()."
Explain Inheritance in Python with an example?,"Inheritance allows a class (child class) to inherit attributes and methods from another class (parent class). E.g., class Parent: pass; class Child(Parent): pass. Child inherits from Parent."
What is object-oriented programming?,"Object-oriented programming is a programming paradigm based on the concept of ""objects"", which can contain data (attributes) and code (methods). It emphasizes modularity, encapsulation, and inheritance."
What is a dictionary in Python and what is it used for?,"A dictionary in Python is a collection of key-value pairs. It's used to store data values like a map, where each key is unique and used to retrieve its corresponding value."
What are the common built-in data types in Python?,"Common data types include int, float, str (string), bool (Boolean), list, tuple, dict (dictionary), and set."
What are local variables and global variables in Python?,Local variables are declared inside a function and are accessible only within that function. Global variables are declared outside of functions and are accessible throughout the program.
What is the difference between Python Arrays and lists?,Arrays in Python (from the array module) are used to store elements of the same type and are more memory efficient. Lists can store elements of different types and provide more flexibility.
